bank_name,assessment,num_sources,strategies_used
Independent Bank Group,"TOP RISKS:
1. **Interest Rate Risk**: The company is exposed to interest rate risk due to its monetary assets and liabilities, which can lead to losses if market interest rates move against the company's position.
2. **Credit Risk**: The company has a significant concentration in commercial real estate loans and exposure to credit risk related to the energy industry, which can lead to losses if borrowers default on their loans.
3. **Liquidity Risk**: The company is subject to liquidity risk due to its reliance on cash flow from operations, redeployment of pre-paid and maturing balances, and access to alternative sources of funds, which can be affected by changes in interest rates and economic conditions.

LIQUIDITY: The company's liquidity position appears to be adequate, with a variety of sources to meet its short-term and long-term cash requirements, including cash, interest-bearing deposits, federal funds sold, securities available for sale, and maturing or prepaying balances in its investment and loan portfolios.

WARNING LANGUAGE: Key warning language found in the filings includes ""materially and adversely affected,"" ""adversely affect,"" ""could decline significantly,"" and ""you could lose all or part of your investment,"" indicating potential risks to the company's financial condition, results of operations, and cash flows.

FRAGILITY RATING: MODERATE
REASONING: While the company appears to have a solid liquidity position and adequate capital levels, its exposure to interest rate risk, credit risk, and liquidity risk suggests a moderate level of fragility. The company's ability to manage these risks and maintain its liquidity position will be critical to its long-term success.",8,['bank_specific']
KeyCorp,"**TOP RISKS:**

1. **Liquidity Risk**: KeyCorp's ability to meet its short-term funding needs, particularly in a stressed market or economic downturn, is a significant concern. The company's reliance on wholesale funding and potential limitations on dividend payments by its national bank subsidiaries could exacerbate liquidity issues.
2. **Regulatory Capital Requirements**: KeyCorp's compliance with regulatory capital requirements, including the stress capital buffer and potential countercyclical capital buffer, poses a risk to its capital adequacy and ability to absorb potential losses.
3. **Market Risk**: A downturn in the U.S. economy or a decline in consumer and business confidence could negatively impact KeyCorp's business and access to capital markets, leading to reduced demand for its products and services.

**LIQUIDITY:**
KeyCorp's liquidity position is **MODERATELY VULNERABLE**. While the company maintains a liquid asset portfolio and has implemented strategies to manage funding risks, its reliance on wholesale funding and potential limitations on dividend payments by its national bank subsidiaries could compromise its ability to meet short-term funding needs in a stressed market.

**WARNING LANGUAGE:**
Key warning language found in the filings includes:

* ""A rating downgrade of the securities of KeyCorp or KeyBank could adversely affect our access to liquidity and could significantly increase our cost of funds...""
* ""In the event KeyBank is unable to pay dividends to us, we may not be able to service debt, pay obligations, or pay dividends on our common or preferred stock.""
* ""A worsening of economic and market conditions, downside shocks, or a return to recessionary economic conditions could result in adverse effects on Key and others in the financial services industry.""

**FRAGILITY RATING:**
**MODERATE**

**REASONING:**
KeyCorp's liquidity position and regulatory capital requirements pose significant risks to its financial stability. While the company has implemented strategies to manage these risks, the potential for a stressed market or economic downturn could compromise its ability to meet short-term funding needs and comply with regulatory requirements. Overall, KeyCorp's fragility rating is MODERATE, reflecting a moderate level of vulnerability to potential risks and challenges.",8,['bank_specific']
M&T Bank,"TOP RISKS:

1. **Credit risk**: M&T Bank's exposure to commercial real estate loans, particularly those in the hotel, office, retail, multifamily, and healthcare sectors, poses a significant risk due to inflationary pressures, rising interest rates, and liquidity concerns. The Company's experience with volatile fluctuations in value through economic cycles and changing economic conditions also increases the risk of potential losses.
2. **Interest rate risk**: The bank's net interest spread declined in 2023 due to higher rates on interest-bearing liabilities, which may impact profitability if interest rates continue to rise. The Company's reliance on short-term borrowings and variable-rate loans also increases its exposure to interest rate risk.
3. **Liquidity risk**: M&T Bank's liquidity position is vulnerable due to its high reliance on short-term borrowings and variable-rate loans, which may become difficult to refinance if interest rates rise further. The Company's management of liquidity is critical to maintaining its financial stability.

LIQUIDITY: M&T Bank's liquidity position is MODERATELY VULNERABLE due to its high reliance on short-term borrowings and variable-rate loans.

WARNING LANGUAGE: Key terms found include ""inflationary pressures,"" ""rising interest rates,"" ""liquidity concerns,"" ""volatile fluctuations in value,"" and ""potential losses,"" which suggest potential risks to the Company's financial stability.

FRAGILITY RATING: MODERATE

REASONING: M&T Bank's exposure to credit risk, interest rate risk, and liquidity risk poses a moderate level of fragility. While the Company has taken steps to manage its liquidity and has a strong capital position, its reliance on short-term borrowings and variable-rate loans increases its vulnerability to interest rate risk and liquidity risk. The potential for losses in its commercial real estate loan portfolio also poses a significant risk to the Company's financial stability.",8,['bank_specific']
PacWest Bancorp,"TOP RISKS:

1. **Credit Risk**: The company's focus on relationship-based business banking to small, middle-market, and venture-backed businesses nationwide increases its exposure to credit risk, particularly in the event of economic downturns or industry-specific challenges.
2. **Interest Rate Risk**: The company's reliance on tax-exempt interest on certain loans and investment securities may lead to fluctuations in Net Interest Margin (NIM) due to changes in interest rates, which could negatively impact profitability.
3. **Regulatory Risk**: As a bank holding company, PacWest Bancorp is subject to various regulations and laws, including the Federal Deposit Insurance Act (FDIA) and the Federal Deposit Insurance Corporation Improvement Act (FDICIA), which may impose additional costs, restrictions, or requirements that could impact its operations and profitability.

LIQUIDITY: PacWest Bancorp's liquidity position appears to be relatively stable, with a strong deposit base and access to various funding sources, including the Federal Home Loan Bank of San Francisco. However, the company's reliance on short-term funding sources may increase its vulnerability to liquidity risk in times of market stress.

WARNING LANGUAGE: Key warning language found in the SEC 10-K filings includes:

* ""Credit risk"" and ""interest rate risk"" are identified as significant risks in the company's business.
* The company notes that changes in interest rates, economic conditions, or regulatory requirements could negatively impact its financial performance.
* The company's reliance on short-term funding sources and its exposure to credit risk are highlighted as potential risks.

FRAGILITY RATING: MODERATE

REASONING: While PacWest Bancorp appears to have a relatively stable liquidity position and a strong deposit base, its exposure to credit risk, interest rate risk, and regulatory risk may increase its vulnerability to market and economic fluctuations. The company's focus on relationship-based business banking and its reliance on tax-exempt interest on certain loans and investment securities may also contribute to its moderate fragility rating.",6,['bank_specific']
Pinnacle Financial Partners,"**TOP RISKS:**

1. **Interest Rate Risk**: Pinnacle Financial Partners may face challenges in maintaining its net interest margin and net interest income due to potential increases in funding costs, reduced loan and deposit growth, and decreased quality of the loan portfolio.
2. **Deposit Risk**: The company's access to deposits may be affected by the liquidity needs of depositors, and a substantial majority of its liabilities are checking accounts and other liquid deposits that can be withdrawn on demand.
3. **Liquidity Risk**: Pinnacle Financial Partners may face challenges in maintaining adequate liquidity due to changes in the deposit market and credit market, which could impact its capital resources, liquidity, and financial results.

**LIQUIDITY:**
Pinnacle Financial Partners appears to have a relatively stable liquidity position, with uninsured deposits representing 22.3% of total deposits at December 31, 2025. However, the company's reliance on wholesale funding sources, such as the FHLB and FRB, may increase its liquidity risk.

**WARNING LANGUAGE:**
Key warning language found in the SEC 10-K filings includes:

* ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
* ""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""
* ""Our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

**FRAGILITY RATING:** MODERATE
Pinnacle Financial Partners appears to have a moderate level of fragility due to its exposure to interest rate risk, deposit risk, and liquidity risk. While the company has implemented various mitigation strategies, there are still potential challenges that could impact its financial results and liquidity position.

**REASONING:**
Pinnacle Financial Partners' moderate fragility rating is due to its reliance on wholesale funding sources, its exposure to interest rate risk, and its potential vulnerability to deposit outflows. While the company has a relatively stable liquidity position, its ability to maintain this position in a rapidly changing economic environment is uncertain.",6,['general_fallback']
Prosperity Bancshares,"TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may negatively impact Prosperity Bancshares' net interest margin and net interest income, as well as the growth rate of loans and deposits, the quality of the loan portfolio, and the value of mortgage-backed securities.
2. **Deposit Risk**: The bank's reliance on deposits, which are payable on demand or upon several days' notice, makes it vulnerable to deposit withdrawals, potentially affecting its liquidity and funding costs.
3. **Liquidity Risk**: Prosperity Bancshares' liquidity position may be negatively impacted by economic conditions, deposit withdrawals, and changes in the deposit market and credit market, making it challenging to access historical and alternative sources of liquidity.

LIQUIDITY: MODERATE
Prosperity Bancshares has a moderate liquidity position, with uninsured deposits representing 22.3% of total deposits at December 31, 2025. However, the bank has additional borrowing capacity from the FHLB and the FRB, which provides some cushion against potential liquidity risks.

WARNING LANGUAGE: 
- ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
- ""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""
- ""Our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

FRAGILITY RATING: MODERATE
REASONING: Prosperity Bancshares faces moderate risks due to its reliance on deposits, interest rate sensitivity, and potential liquidity challenges. While the bank has some mitigating factors, such as additional borrowing capacity, its liquidity position is not overly robust, and it may struggle to adapt to changes in the deposit market and credit market.",6,['general_fallback']
Regions Financial,"TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may negatively impact net interest margin, net interest income, and the value of securities, potentially leading to reduced liquidity and increased funding costs.
2. **Deposit Risk**: A significant portion of deposits may be uninsured, making them vulnerable to withdrawal, and potentially affecting liquidity and funding costs.
3. **Liquidity Risk**: The company's ability to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, may be impacted by changes in the deposit market and credit market.

LIQUIDITY: **MODERATE**
The liquidity position appears moderate, with uninsured deposits representing a significant portion of total deposits, but the company has taken steps to mitigate this risk by maintaining a high level of immediately available liquidity and having access to additional borrowing capacity.

WARNING LANGUAGE: **Interest Rate Risk**, **Deposit Risk**, **Liquidity Risk**, **Mitigation Strategies May Not Be Successful**, **No Assurance of Availability or Success**

FRAGILITY RATING: **MODERATE**
The company's moderate liquidity position and significant uninsured deposits make it vulnerable to changes in interest rates and deposit market conditions, but the company has taken steps to mitigate these risks.

REASONING: Regions Financial's moderate liquidity position and significant uninsured deposits make it susceptible to interest rate and deposit market fluctuations, but the company's efforts to maintain a high level of immediately available liquidity and access to additional borrowing capacity help mitigate these risks.",6,['general_fallback']
Renasant Corporation,"**TOP RISKS:**

1. **Credit Risk**: Renasant Corporation is exposed to significant credit risk due to its loan portfolio, particularly in commercial and industrial, construction, and commercial real estate segments. The company's allowance for credit losses may be insufficient, and it may be required to further increase its provision for credit losses, which could have a material adverse effect on its financial condition and results of operations.
2. **Interest Rate Risk**: Renasant Corporation is vulnerable to interest rate risk, which could impact its net interest income and financial condition. Changes in interest rates may affect loan demand, credit losses, loan origination volume, and the value of financial assets and liabilities.
3. **Regulatory Risk**: Renasant Corporation is subject to extensive government regulation, which could limit or restrict its activities and adversely affect its earnings. Changes to regulations, statutes, or regulatory policies could subject the company to additional costs, limit its ability to offer financial services and products, and increase competition from non-banks.

**LIQUIDITY:**
Renasant Corporation's liquidity position is moderate, relying on dividends from the Bank as its primary source of funds. The company may be required to rely on secondary sources of liquidity, such as Federal Home Loan Bank advances and federal funds lines, to meet withdrawal demands or fund operations.

**WARNING LANGUAGE:**
Key warning language found in the 10-K filings includes:

* ""Could have a material adverse effect on our financial condition and results of operations""
* ""May be required to further increase our provision for credit losses""
* ""Subject to significant revision as more information becomes available""
* ""Could cause us to experience higher than normal delinquencies and credit losses""
* ""Could have a material adverse effect on our earnings""

**FRAGILITY RATING:** ELEVATED
REASONING: Renasant Corporation's elevated fragility rating is due to its exposure to significant credit risk, interest rate risk, and regulatory risk. While the company's liquidity position is moderate, its reliance on dividends from the Bank and potential need for secondary sources of liquidity increase its vulnerability to market fluctuations and regulatory changes.",8,['bank_specific']
Signature Bank,"TOP RISKS:

1. **Interest Rate Risk**: The risk of rising interest rates affecting the bank's net interest margin, net interest income, and liquidity position, as seen in the excerpts from Wintrust Financial and Independent Bank Group.
2. **Deposit Risk**: The risk of depositors withdrawing their funds, affecting the bank's liquidity and funding costs, as seen in the excerpts from Synovus Financial and Webster Financial.
3. **Liquidity Risk**: The risk of the bank being unable to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, as seen in the excerpts from Synovus Financial and Webster Financial.

LIQUIDITY: The liquidity position of Signature Bank appears to be relatively stable, with a low percentage of uninsured deposits (22.3% at December 31, 2025) and a high level of liquidity coverage (178.0% at December 31, 2025).

WARNING LANGUAGE: Key warning language found in the excerpts includes ""there can be no assurance that such mitigation strategies will be available or successful,"" ""we may be unable to access historical and alternative sources of liquidity,"" and ""our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

FRAGILITY RATING: MODERATE

REASONING: Signature Bank appears to have a moderate level of fragility due to its exposure to interest rate risk and deposit risk. While its liquidity position is relatively stable, the bank's reliance on uninsured deposits and its ability to access alternative sources of liquidity are potential vulnerabilities. Additionally, the warning language in the excerpts suggests that the bank may face challenges in maintaining its liquidity position in a rapidly changing economic environment.",6,['general_fallback']
Silicon Valley Bank,"TOP RISKS:
1. **Interest Rate Risk**: Silicon Valley Bank's net interest margin and net interest income may be reduced due to increases in funding costs or decreases in loan demand, which could be exacerbated by the bank's reliance on short-term deposits and its limited ability to pass on higher interest rates to customers.
2. **Depositor Withdrawal Risk**: The bank's liquidity position may be negatively impacted if a large number of depositors withdraw their accounts, regardless of the reason, which could be triggered by changes in the deposit market or economic conditions.
3. **Credit Risk**: The bank's loan portfolio may be affected by changes in the credit market, which could result in higher loan losses or reduced loan demand, potentially impacting the bank's capital resources and financial results.

LIQUIDITY: **VULNERABLE**
Silicon Valley Bank's liquidity position is vulnerable due to its reliance on short-term deposits and its limited ability to pass on higher interest rates to customers. The bank's uninsured deposits represent a significant portion of its total deposits, and its ability to access alternative sources of liquidity, such as the capital markets or brokered deposits, may be limited.

WARNING LANGUAGE: **KEY TERMS FOUND**
- ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
- ""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""
- ""Our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

FRAGILITY RATING: **ELEVATED**
The bank's elevated fragility rating is due to its vulnerable liquidity position, reliance on short-term deposits, and limited ability to pass on higher interest rates to customers. The bank's interest rate risk and depositor withdrawal risk also contribute to its elevated fragility rating.

REASONING: Silicon Valley Bank's liquidity position and interest rate risk make it vulnerable to changes in the deposit market and credit market, which could have a significant impact on its capital resources, liquidity, and financial results. The bank's reliance on short-term deposits and limited ability to pass on higher interest rates to customers also contribute to its elevated fragility rating.",6,['general_fallback']
